Programtervező informatikus BSc_N (2017) [BSZKPTI-N1] mintatanterv,,,,,,,,,,,,,,,,,,,,,,,
,Sorkód,Név,Félév,Felvétel típus,Kurustípus,Heti óraszám,Féléves óraszám,Kredit,Ebből teljesítendő kredit,Teljesítendő csoport,Teljesítendő tárgy,Előfeltétel,,,,,,,,,,,
◼◼,TE‑IB407g,Számítógép-hálózatok,1,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB407g,Számítógép hálózatok gyak.,1,Kötelező,Labor,1,,2,,,,,,,,,,,,,,,
◼,TT‑IB501,Adatbázisok,3,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IB501e,Adatbázisok,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB501e,Adatbázisok,3,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB501g,Adatbázisok,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB501g,Adatbázisok gyakorlat,3,Kötelező,Labor,1,,2,,,,,,,,,,,,,,,
◼,TT‑IB405,Programozási nyelvek,,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IB405e,Programozási nyelvek,4,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB405e,Programozási nyelvek,4,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB405g,Programozási nyelvek,4,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB405g,Programozási nyelvek gyak.,4,Kötelező,Labor,1,,2,,,,,,,,,,,,,,,
◼,TT‑IB716,Információbiztonság,6,Kötelező,,,,3,3,2,,,,,,,,,,,,,
◼◼,TE‑IB716E,Információbiztonság,6,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB716E,Információbiztonság,6,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB716L,Információbiztonság,6,Kötelező,,,,1,1,,1,,,,,,,,,,,,
◼◼◼,IB716L,Információbiztonság,6,Kötelező,Labor,1,,1,,,,,,,,,,,,,,,
◼,TT‑IB153,Rendszerfejlesztés I.,,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IB153e,Rendszerfejlesztés I.,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB153e,Rendszerfejlesztés I.,3,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB153l,Rendszerfejlesztés I.,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB153l,Rendszerfejlesztés I. gyak.,3,Kötelező,Labor,1,,2,,,,,,,,,,,,,,,
◼,TT‑IB714,Web tervezés,,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IB714e,Webtervezés,2,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB714e,Webtervezés,2,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB714g,Webtervezés,2,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB714g,Webtervezés gyak.,2,Kötelező,Labor,1,,2,,,,,,,,,,,,,,,
