,,,,,,,,,,,,
Mérnökinformatikus BSc_N (2017) [BSZKMEI-N1] mintatanterv,,,,,,,,,,,,
,,,,,,,,,,,,
,Sorkód ,Név ,Félév ,Felvétel típus ,Kurustípus ,Heti óraszám ,Féléves óraszám ,Kredit ,Ebből teljesítendő kredit ,Teljesítendő csoport ,Teljesítendő tárgy ,Előfeltétel
◼◼◼,MSZV00‑00051,A matematikai statisztika alapjai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00057,Matematika 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00059,LD. ANNOTÁCIÓ! Számítógéppel segített matematikai modellezés,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00127,Az aritmetika és a számelmélet fejlődése az ókortól Hilbert hetedik problémája megoldásáig,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00023,Többváltozós függvények,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00005,Analízis szigorlat (mattan),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00004,Szakdolgozati konzultáció,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00141,Bevezetés a Lie csoportok elméletébe,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00113,Diszkrét geometria,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00028,Valószínűségszámítás (mattan),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00056,Geometriák és modelljeik,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00137,Bevezetés a disztribucióelméletbe II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00035,Játékelmélet,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00022,Bevezetés a szimplektikus geometriába,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00109,ERASMUS - kurzuselismerés (3),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00073,Algebra és geometria II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00072,Az algebra története Hammurapitól Birkhoffig,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00148,Absztrakt algebra II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00054,Lineáris algebra informatikusoknak,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00152,Számelméleti feladatok a középiskolában,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00121,Kalkulus fizikusoknak 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00017,Algebra és geometria 2. gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00161,Eötvös-esték III. évad I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00092,Eötvös-esték VII. évad I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00021,Differenciálegyenletek és numerikus megoldásuk lab.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00010,Diszkrét matematika III. (B),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00050,Lineáris algebra informatikusoknak gy.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00145,A valószínűség elemei,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00143,Az analízis alkalmazása a matematika területén,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00118,Zsonglőrködés és matematika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00117,A demonstrátori munka módszerei II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00158,Feladatmegoldó szeminárium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00139,Eötvös-esték III. évad II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00153,Valós függvénytan (matkus),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00012,Differenciálegyenletek és numerikus megoldásuk,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00052,Halmazelmélet,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00009,Feladatmegoldó speciálkollégium V.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00008,Eötvös-esték II. évad II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00142,Eötvös-esték VII. évad II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑EötK‑EstVIII_I,,,,,,,,,,,
,Eötvös-esték VIII. évad I.,Szabadon választható,Előadás,2,,2,,,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑EötK‑EstVIII_II,,,,,,,,,,,
,Eötvös-esték VIII. évad II.,Szabadon választható,Előadás,2,,2,,,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑EötK‑EstIX_I,,,,,,,,,,,
,Eötvös-esték IX. évad I.,Szabadon választható,Előadás,2,,2,,,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑EötK‑EstX_I,,,,,,,,,,,
,Eötvös-esték X. évad I.,Szabadon választható,Előadás,2,,2,,,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑EötK‑EstX_II,,,,,,,,,,,
,Eötvös Esték X. évad II.,Szabadon választható,Előadás,2,,2,,,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑EötK‑EstXI_I,,,,,,,,,,,
,Eötvös-esték XI. évad I.,Szabadon választható,Előadás,2,,2,,,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑EötK‑EstXI_II,,,,,,,,,,,
,Eötvös Esték XI. évad II.,Szabadon választható,Előadás,2,,2,,,,,,
◼,TT‑UNIV300,Szabadon választható BSc,,Nincs megadva,,,,0,0,,,
◼◼,TE‑UNIV300,Szabadon választható BSc,,Szabadon választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00001,Szociálpszichológia,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00003,Az egészséges táplálkozás alapjai,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00009,Az italok és az ivás kultúrtörténet,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00011,Bevezetés az egyetemi tanulmányokba és az egyetemi életbe,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00017,Bevezetés a pszichológiába,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00021,Oktatáselmélet,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00014,Irányítástechnika,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00018,Neveléselmélet,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00010,Nevelés- és szociálpszichológia szeminárium,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00006,Kórélettan Klinikai kémikus szakon,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00007,Vallás a science fiction-ben,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00013,Nem TTK szabadon választott (ERASMUS),,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00019,Irodalom és meditáció,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300,Oktatáselmélet szeminárium,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00005,Fejlődéslélektan,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00002,A nevelés elméleti és történeti alapjai,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00008,Erasmus kurzuselismerés,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00020,"Silentium (Hamvas Béla, József Attila és a meditáció)",,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00004,Neveléspszichológia,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00015,Fejlődéslélektan szeminárium,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00012,A Bibila könyvei 2.,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00016,A magyar országgyűlés működése politológiai és képviselői megközelítésben,,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00022,A tudománykommunikáció gyakorlati útjai,,Szabadon választható,Szeminárium,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,UNIV300‑00023,A médiaszereplés alapismeretei,,Szabadon választható,Szeminárium,2,,2,,,,
◼,TT‑XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,,Nincs megadva,,,,0,0,,,
◼◼,TE‑XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,,Szabadon választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,XN0141‑00056,Angol biológiai szaknyelv - humán 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00044,Német biológiai szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00083,Angol műszaki szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00034,Angol szakmai kommunikáció a tudományos életben B2 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00019,Angol környezetvédelmi szaknyelv 3. szint (szennyezés) 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00017,Angol gyógyszerészeti szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00066,Német idegenforgalmi szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00114,Angol média szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00127,Angol idegenforgalmi szaknyelv B2 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00009,Angol gazdasági szaknyelv felsőfokú nyelvvizsga-előkészítő 2. szint 2x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00051,Angol informatikai szaknyelv középfokú nyelvtudással 4. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00130,Német gazdasági szaknyelvi nyelvvizsga-előkészítő 1. szint 2x2,,Szabadon választható,Gyakorlat,4,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00070,Angol gazdasági szaknyelv B2 1. szint 2x2,,Szabadon választható,Gyakorlat,4,,4,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00113,Francia környezetvédelmi szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00117,Angol biológiai szaknyelv - (állattan) 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00111,Angol műszaki szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00076,Angol bevezetés informatikai szaknyelvbe,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00096,Angol biológia szaknyelv - ANIMALS,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00055,Angol környezetvédelmi szaknyelv 2. félév 3. csop.,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00026,Angol földrajz szaknyelv 1. félév,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00115,Angol lélektan szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00011,Angol környezetvédelmi szaknyelv B2 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00008,Angol környezetvédelmi szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00014,Angol földrajz szaknyelv B2 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00013,Angol biológia szaknyelv 3. félév,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00045,Angol gazdasági szaknyelv B1 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00030,Angol földrajz szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00049,Angol informatikai szakszövegolvasás és fordítás 2. félév,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00015,Angol C1 gazdasági szaknyelvi vizsga-előkészítő 1. szint 2x2,,Szabadon választható,Gyakorlat,4,,4,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00031,Angol sport és rekreáció szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00048,Angol informatikai szakszövegolvasás és fordítás,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00035,Német gazdasági szaknyelv B1 1. szint 2x2,,Szabadon választható,Gyakorlat,4,,4,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00060,Angol/Bevezetés az informatikai szaknyelvbe,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00003,Angol gazdasági szaknyelv B1+ 1. szint 2x2,,Szabadon választható,Gyakorlat,4,,4,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00126,Német gyógyturizmus és wellness szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00007,Német biológiai szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00106,Angol gazdasági szaknyelv B1 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00091,Német idegenforgalmi szaknyelv 4. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00021,Angol biológiai szaknyelv-Humán biológia 1. félév,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00108,Angol szakmai kommunikáció a tudományos életben 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00037,Angol biológiai szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00054,Angol biológiai szaknyelv (állattan) 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00071,Német gazdasági szaknyelv alapfokú nyelvtudással 1. szint 2x2,,Szabadon választható,Gyakorlat,4,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00128,Angol biológiai szaknyelv - humán 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00010,Angol szakmai kommunikáció a tudományos életben B2 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00110,Angol környezetvédelmi szaknyelv 2. szint 1. félév,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00120,Francia környezetvédelmi szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00097,Angol földrajz szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00043,Angol sport és rekreáció szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00099,Angol földrajz szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00046,Angol idegenforgalmi szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00098,Angol bevezetés az informatikai szaknyelvbe,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00016,Angol idegenforgalmi szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00006,Angol környezetvédelmi szaknyelv 2. félév 2. csop.,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141,Angol gazdasági szaknyelv 1. szint 1x2 MK,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00005,"Angol műszaki szaknyelv B2+, TTIK, 2. szint 1x2",,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00001,Angol könyezetvédelmi szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00084,Német média szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00092,Angol gazdasági szaknyelv B1+ 2. szint 2x2,,Szabadon választható,Gyakorlat,4,,4,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00125,Angol lélektan szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00036,Német idegenforgalmi szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00023,Angol gazdasági szaknyelv B2 szintű nyelvtudással 2. szint 2x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00075,Angol informatikai szaknyelv Bevezetés 2. félév,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00068,Angol informatikai szaknyelv B2 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00118,Angol biológiai szaknyelv (növénytan) 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00072,Angol szakmai kommunikáció a tudományos életben 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00039,Angol informatikai szaknyelv alapfokú nyelvtudással 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00028,Angol földrajz szaknyelv 2. félév 1. csop.,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00024,Angol informatikai szaknyelv középfokú nyelvtudással 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00012,Angol informatikai szaknyelv középfokú nyelvtudással 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00077,Angol informatikai szaknyelv alapfokú nyelvtudással 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00129,Német környezetvédelmi szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00042,Angol informatikai szakszövegolvasás szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00058,Angol környezetvédelmi szaknyelv 2. szint (ökoszisztémák) 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00134,Angol média szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00061,Angol mérnöki szaknyelv B2+ 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00100,Német idegenforgalmi szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00101,Angol idegenforgalmi szaknyelv 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00085,Angol bevezetés a biológia szaknyelvbe,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00107,Francia környezetvédelmi szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00093,Német turisztika szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00018,Angol biológia szaknyelv 1. félév,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00022,Angol környezetvédelmi szaknyelv 1. szint (globális) 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00109,Angol informatikai középfokú szaknyelvi vizsga-előkészítő 1x2 2. szint,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00088,Angol informatikai szakszövegolvasás és fordítás - felsőfok,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00089,Angol gazdasági szaknyelv B1+ szintű nyelvtudással 2. szint 2x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00065,Angol informatikai szaknyelv középfokú nyelvtudással 3. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00020,Angol biológiai szaknyelv-Biológiai sokféleség 1. félév-növények,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00052,Angol gazdasági szaknyelv felsőfokú nyelvvizsga-előkészítő 1. szint 2x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00112,Angol földrajz szaknyelv 2. félév 2. csop.,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00064,Angol C1 gazdasági szaknyelvi vizsga-előkészítő 2. szint 2x2,,Szabadon választható,Gyakorlat,4,,4,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00053,Angol földrajz szaknyelv B2 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00073,Angol mérnöki szaknyelv B 1 1.szint 1x2 MK,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00095,Angol informatikai szaknyelv B2 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00069,Német idegenforgalmi szaknyelv 3. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00119,Német gazdasági szaknyelvi vizsga-előkészítő B2 1. szint 2x2,,Szabadon választható,Gyakorlat,4,,4,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00080,Német környezetvédelmi szaknyelv,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00122,Angol mérnöki szaknyelv B1 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00133,Angol környezetvédelmi szaknyelv 2. szint (szennyezés) 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00079,Angol biológiai szaknyelv (növénytan) 1. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00121,Német média szaknyelv 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00050,Angol környezetvédelmi szaknyelv 1. szint 1. félév,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00002,Német gazdasági szaknyelv B1 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00087,Angol mérnöki szaknyelv B2+ 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,XN0141‑00004,Angol biológiai szaknyelv B2 2. szint 1x2,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
