,,,,,,,,,,,,
Mérnökinformatikus BSc_N (2017) [BSZKMEI-N1] mintatanterv,,,,,,,,,,,,
,,,,,,,,,,,,
,Sorkód ,Név ,Félév ,Felvétel típus ,Kurustípus ,Heti óraszám ,Féléves óraszám ,Kredit ,Ebből teljesítendő kredit ,Teljesítendő csoport ,Teljesítendő tárgy ,Előfeltétel
◼◼◼,BSZV00‑00310,A molekuláris fiziológia alapjai: membrántranszport-fehérjék működése,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00074,A környezeti mozgalmak kiemelkedő alakjai Assisi Szt. Ferenctől Arnold Schwarzeneggerig,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00176,Állatszervezettan gy 1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00006,Természetvédelem terepgyakorlat BSc,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00120,Agykéreg kutatás új módszereii szeminárium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00019,Genetika 2,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00022,Állatrendszertan/állatismeret terepgyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00232,Ökológia 1. (lev.),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00047,Oxigén: áldás vagy átok?,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00281,Az enterális idegrendszer szakirodalma 8,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00046,A trópusok növényvilága,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00055,A mikrobiológia kalandos évszázadai 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00054,Új eredmények az agykéreg kutatásban,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00245,Állatrendszertan 2. gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00185,Bibliai növények,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00238,"Signalling, apoptosis and cancer",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00206,Ornithology,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00,Biológiai műhely XVII. szemeszter,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00264,Az agykéreg kutatás új eredményei szeminárium 4,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00037,A fluoreszcencia alkalmazásai a sejtbiológiában,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00048,környezetvédelem biológiai alapjai szeminárium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00317,Odontológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00009,Erkölcs és vallás evolúciós alapjai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00268,A fájdalom sejtbiológiai alapjai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00083,Ökológiai módszerek,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00272,Cancer,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00304,Biológiai műhely XV. szemeszter,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00014,Embertani gyűjteménykezelési ismeretek,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00128,Adaptív növényi stratégiák EA (Specializációs főtárgy),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00045,Speciális kurzus: ERASMUS (3 kr),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00139,Molekuláris biológia 2. (lev.),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00088,Összehasonlító élettan 1 ea,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00151,Mikrobiológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00202,A genetika korszakai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00067,Biotechnológia üzleti szemmel I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00154,Növényélettan 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00327,Az agykéreg kutatás új eredményei szeminárium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00290,Történeti embertan,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00105,Regeneráció és transzplantáció központi idegrendszeri sérülést követően,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00077,Állatszervezettan ea 1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00036,Az enterális idegrendszer szakirodalma,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00311,A HIV genetikája,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00075,Összehasonlító élettan 1 ea (levelező),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00005,Környezetvédelmi biotechnológia módszerei,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00307,Magyar néprajz és történeti ökológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00267,Biotechnológia 1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00312,Növényélettan 2. (kieg. lev.),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00076,Az enterális idegrendszer szakirodalma 6,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00044,AGY - ELME - TUDAT: A LÁTÓHATÁRON TÚL - ERŐSEN KRITIKAI SZEMLÉLETŰ KÍSÉRLETEK A TERMÉSZETTUDOMÁNYOS FRONTVONALAK HATÁRME,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00213,Gyakorlati természetvédelem ea.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00278,Az enterális idegrendszer szakirodalma 5,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00318,Növényrendszertan 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00051,Fejezetek a biotechnológiából 2,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
